establishment_id,name_of_restaurant,province,city/municipality,address,opening_hours,closing_hours,cuisine_type,dine-in,takeout,delivery,average_price_range,rating,contact_information,coordination,description,image,category,Category_Encoded
11,Makai Bowls,La Union,San Juan,"San Juan, La Union",08:00:00 AM,06:00:00 PM,Vegan-Friendly,Yes,Yes,No,400,4.3,,"16.659986868115336, 120.32200049010464","Makai Bowls is a popular spot in the coastal commune of San Juan, situated at the Great Northwest Philippine Travel Stop and Viewing Deck, offering stunning sea views. It was established to provide surfers and beach enthusiasts with a healthy dining option. Known for its dairy-free and sugar-free smoothie bowls made from 100% real fruits, Makai Bowls has relocated from Flotsam & Jetsam Hostel to its own place at the Travel Stop.",https://itin-dev.wanderlogstatic.com/freeImage/d2QoEgp0NX6k0z2xXs5M6L5QVlVM10YU,Moderate,1
12,Sabong Fried Chicken,La Union,San Juan,"National Highway, San Juan, 2514 La Union",10:00:00 AM,09:00:00 PM,Fried Chicken,Yes,Yes,No,400,4.1,,"16.659902888473415, 120.32195358770757","Sabong Fried Chicken is a cozy spot in the Great Northwest complex that's perfect for satisfying your fried chicken cravings. The menu is simple yet enticing, offering four types of chicken with four different sauces and a variety of sides. You can indulge in their Original Sabong Fried Chicken served with hand-cut fries and homemade banana ketchup, or try the kare-kare inspired version with honey-bagoong glaze, kare-kare sauce, and eggplant salsa. ",https://itin-dev.wanderlogstatic.com/freeImage/B35hcw5Sol9rm8nqN4omXSVY0RjAQA53,Moderate,1
13,Flotsam & Jetsam Hostel,La Union,San Juan,"M86F+PV2, MacArthur Hwy, San Juan, La Union",08:00:00 AM,06:00:00 PM,Filipino Food,Yes,Yes,No,500,4.2,9178021328.0,"16.662186019863253, 120.32436650377264","Flotsam & Jetsam Artist Beach Hostel is a popular beachfront accommodation in La Union, known for its relaxed atmosphere and vibrant crowd. The hostel offers modest dorms and private rooms, making it an ideal choice for travelers seeking a laid-back beach experience. In addition to providing surf lessons, the hostel features an eatery and bar where guests can socialize and enjoy the eclectic ambiance.",https://itin-dev.wanderlogstatic.com/freeImage/KeBcrcvOUkbs7VhBLt694fH45q3GOyFS,Moderate,1
14,The Coffee Library - San Juan,La Union,San Juan,"MacArthur Hwy, San Juan, 2514 La Union",08:00:00 AM,06:00:00 PM,Coffeehouse ,Yes,Yes,Yes,250,4.4,9175037962.0,"16.65660187094261, 120.32118321913931","If you're in San Juan and in need of a cozy spot to enjoy some coffee, Vietnamese cuisine, or comfort food, The Coffee Library is the place to be. It's a beloved spot in Elyu known for its delicious food and coffee at reasonable prices. With its convenient location near the beach and national highway, it's the perfect place to unwind and relax with good food and drinks.","https://www.google.com/maps/place/The+Coffee+Library+-+San+Juan/@16.6563919,120.3210768,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPwoN0f2XG6-VzcEXStW8ZEF_XyYFWP-1Hz8gAa!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPwoN0f2XG6-VzcEXStW8ZEF_XyYFWP-1Hz8gAa%3Dw129-h86-k-no!7i6000!8i4000!4m7!3m6!1s0x33918d23752ace7d:0xe0836960086bbd1a!8m2!3d16.6563141!4d120.3211403!10e5!16s%2Fg%2F11kpdgt10k?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Budget-Friendly,0
15,Masa Bakehouse La Union,La Union,San Juan,"Barangay, Costales st. Sitio Dappat, San Juan, 2514 La Union",09:00:00 AM,05:00:00 PM,Coffeehouse ,Yes,Yes,No,400,4.6,9684441496.0,"16.67175898158903, 120.3429169448236","Masa Bakehouse 2 has relocated to a larger, barn/warehouse-style space, offering a spacious and well-lit environment while maintaining the quality of their pastries and food. The crunchy kouign-amann is a standout, and the OG Beef Grilled Cheese provides a savory twist with its juicy beef pares filling. Despite potential peak time buzz, this La Union spot impresses with delicious food, relaxed atmosphere, and generous portions.",https://itin-dev.wanderlogstatic.com/freeImage/3vWh496nDA1yfevt0SpZbtyfpXzv4yCf,Moderate,1
16,BeachBum Food Park,La Union,San Juan,"M85C+HWG, Urbiztondo Rd, San Juan, La Union",02:00:00 PM,01:00:00 AM,Bar & Grill,Yes,Yes,No,300,4.2,9778442497.0,"16.659204988854814, 120.3223500322542","Located along Urbiztondo Road in San Juan La Union, BeachBum Food Park is a unique dining destination that offers a casual and laid-back atmosphere. It's not about luxury, but rather about enjoying outdoor dining, tasty food, and affordable beer. The park is particularly popular among visitors looking for a vibrant nightspot. Operating from Monday to Sunday with extended hours on weekends, it provides an ideal setting for socializing over delicious meals and drinks.",https://itin-dev.wanderlogstatic.com/freeImage/OzWvjFhwC79h4Xnn26tweU0dllO4gGZp,Budget-Friendly,0
17,Clean Beach Coffee,La Union,San Juan,"134 Beachfront, MacArthur Highway,, Brgy. Urbiztondo, San Juan, 2514 La Union",07:00:00 AM,10:00:00 PM,Coffeehouse ,Yes,Yes,No,300,4.4,,"16.66224358656549, 120.32388991697049","Clean Beach Coffee is a charming restaurant located near MacArthur that offers delicious Balinese cuisine. One of their standout dishes is the bebek goreng, which is incredibly crispy and comes with a unique Chinese-style duck sauce. The restaurant takes pride in making everything in-house, including their flavorful sambal, noodles for bakso, and heavenly coconut ice cream. Clean Beach Coffee has convenient opening hours throughout the week, making it an ideal spot to satisfy your cravings for authentic Balinese flavors.",https://itin-dev.wanderlogstatic.com/freeImage/ESlBoHkTjX19vUbogdfx3tosLDDdwmnd,Budget-Friendly,0
18,Papa Bear,La Union,San Juan,"The Great Northwest Philippines Travel Stop and Viewing Deck, MacArthur Hwy, San Juan, La Union",09:00:00 AM,09:00:00 PM,Asian Food,Yes,Yes,No,400,4.2,,"16.659932189424108, 120.32212925644617","Papa Bear is a cozy restaurant located in La Union, offering a diverse menu featuring Asian cuisine. The establishment takes pride in its themed dishes that showcase the flavors of Southeast Asian countries such as char kway teow, pho, and sambal pork. One of their signature offerings is the begg bowl, priced at just under two hundred pesos.","https://www.google.com/maps/place/Papa+Bear/@16.6595605,120.3226571,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNslFawavm2nVdoTF4slnk9mT0ddHP8rL6fZJHX!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNslFawavm2nVdoTF4slnk9mT0ddHP8rL6fZJHX%3Dw134-h86-k-no!7i1242!8i794!4m7!3m6!1s0x33918d95a413a8f5:0x40fa76e4b793916!8m2!3d16.6596547!4d120.322258!10e5!16s%2Fg%2F11gbp0fhzd?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
19,Chu's Diner,La Union,San Juan,"San Juan, La Union",11:00:00 AM,05:00:00 PM,Japanese Food,Yes,Yes,Yes,500,4.2,726194234.0,"16.65982883136553, 120.32214598779204","Chu's Diner, a small Japanese restaurant located in the Great Northwest Food Park of San Juan, offers an authentic and delicious selection of Japanese cuisine. Run by Chu, a Japanese native now residing in San Juan, this cozy spot features a sushi bar as well as other traditional Japanese dishes. To ensure a seat at this popular eatery, it is recommended to arrive early as they have a cutoff time around 1:30 or 2 pm before resuming service at 5 pm.","https://www.google.com/maps/place/Chu's+Diner/@16.6597893,120.322716,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPTQvuXaFpsra13Kpc9GaGNezbsDVH8Pr2gdI9k!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPTQvuXaFpsra13Kpc9GaGNezbsDVH8Pr2gdI9k%3Dw203-h203-k-no!7i878!8i878!4m7!3m6!1s0x33918d49123422eb:0xb340f04975850ec9!8m2!3d16.6597158!4d120.3221138!10e5!16s%2Fg%2F11gsb5w_b2?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
20,Ciano Umok Gallery CafÃÂ©,La Union,Bauang,"F8WR+V5G, Bauang, La Union",08:00:00 AM,06:30:00 PM,Filipino Food,Yes,Yes,No,400,4.3,9212217723.0,"16.49739611133748, 120.3405260046843","Ciano Umok Gallery Cafe is a hidden gem located about 1km from the highway, offering a serene and relaxing atmosphere akin to a secret garden. The traditional architecture with modern touches adds to its charm. It's an ideal place to unwind, dine, and admire local artists' works displayed throughout the establishment. The cafe serves delicious food and beverages such as their signature coffee ti ay-ayo and Halo-Halo with distinct flavors.",https://itin-dev.wanderlogstatic.com/freeImage/jFfZq4wIJUMUUDkCyO6tMWrDAEu0keuQ,Moderate,1
21,Little Canggu,La Union,San Juan,"MacArthur Hwy, San Juan, 2514 La Union",08:00:00 AM,08:00:00 PM,Filipino Food,Yes,Yes,No,400,4.6,9053433218.0,"16.662368240395967, 120.32418717709857","Little Canggu is a hidden gem in La Union, offering delicious and reasonably priced food with a nice ocean view. The ambiance is relaxing, making it a great spot to watch surfers while dining. The cafe also serves good nitro coffee at reasonable prices. It's pet-friendly and has friendly staff, clean facilities, and well-maintained surroundings. While the extended patio can be a bit wobbly, the overall experience of dining here is highly recommended.","https://www.google.com/maps/place/Little+Canggu/@16.6620702,120.3241228,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMGK3OZCdHF-QGUQsY0rsj11GyZWWq9kq2FILqO!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMGK3OZCdHF-QGUQsY0rsj11GyZWWq9kq2FILqO%3Dw86-h114-k-no!7i3024!8i4032!4m7!3m6!1s0x33918d4561642bd9:0x550214235ff788d3!8m2!3d16.6620702!4d120.3241228!10e5!16s%2Fg%2F11mjw9g2gg?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
22,Tipple and Brew,La Union,San Juan,"M84C+GC4, Urbiztondo Rd, San Juan, La Union",11:00:00 AM,10:00:00 PM,Resto Bar,Yes,Yes,No,400,3.6,9175697223.0,"16.656273247307404, 120.32103961300045","Nestled along the main highway in La Union, Tipple and Brew Resto Bar is a charming haven for those seeking a laid-back drinking experience away from the bustling nightlife. This cozy gastropub specializes in an impressive selection of craft beers, including unique offerings from Engkanto Brewery and delightful flavored options like the vegan-friendly Peach Summer Ale. The menu features gourmet comfort food that pairs perfectly with your drink of choice, such as crispy onion rings and savory pork sisig.","https://www.google.com/maps/place/Tipple+and+Brew/@16.6562387,120.3210916,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNnd35mucrj38GtEzs9w2TlisliB7hxQBpWV9ud!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNnd35mucrj38GtEzs9w2TlisliB7hxQBpWV9ud%3Dw114-h86-k-no!7i4080!8i3072!4m7!3m6!1s0x33918d4d1a2e9af9:0x73be1a83d2a32611!8m2!3d16.656263!4d120.3210718!10e5!16s%2Fg%2F11f61nxk8y?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
23,Seabuds La Union,La Union,San Fernando,"M84C+V3Q, San Fernando, La Union",08:00:00 AM,06:00:00 PM,Vegan-Friendly,Yes,Yes,No,400,4.2,9605082582.0,"16.657420741375677, 120.32021091563453","Seabuds in La Union offers a healthy and delicious breakfast with plant-based main dishes like tofu-based scrambled eggs, garlic brown rice, chopped tomatoes, and cucumber. The restaurant is known for its vegan-friendly options such as the Tapsilog Breakfast and Funky Monkey Smoothie Bowl. Despite the long waiting time during crowded weekends, visitors can enjoy their snacks by the beach at Seabuds' small covered dining area or rent mats and umbrellas near uncovered tables.",https://itin-dev.wanderlogstatic.com/freeImage/icZMlU5R5mWjeUDmmtzKzj8rGWaTtnZ0,Moderate,1
24,NATALNA GRILLE,La Union,San Fernando,"Pagudpod San Vicente Rd, San Fernando, La Union",10:30:00 AM,08:00:00 PM,Asian Food,Yes,Yes,Yes,400,4.3,726192846.0,"16.57982150742217, 120.31526041576478","Natalna Grille is a perfect place for dates, family gatherings and casual dining. It offers a wide range of menu with some must-try dishes such as grilled tuna belly and buttered mushroom with garlic. The view is nice since it overlooks the seashore while being quite and serene. The staff are friendly and accommodating making it a great choice for diners looking for an intimate atmosphere or convenient food without breaking the bank.","https://www.google.com/maps/place/NATALNA+GRILLE/@16.5796056,120.3152926,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNt7Zo8v2oP9S-AyXyNRhMuvCxtDioq8zbvuLKC!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNt7Zo8v2oP9S-AyXyNRhMuvCxtDioq8zbvuLKC%3Dw86-h114-k-no!7i3468!8i4624!4m7!3m6!1s0x33918fb9234b216f:0x4cc77989df43752c!8m2!3d16.5796056!4d120.3152926!10e5!16s%2Fg%2F1pztvy8tn?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
25,Midway Grill & Restaurant - La Union's Best Kept Secret,La Union,San Fernando,"MacArthur Hwy, San Fernando, La Union",09:00:00 AM,10:00:00 PM,Filipino Food,Yes,Yes,Yes,400,4.0,727005233.0,"16.636428304887275, 120.31225025917422","Midway Grill & Restaurant is a hidden gem in La Union, offering delicious and affordable food that keeps customers coming back for more. The restaurant opens every day from 9:00 AM to 10:00 PM, making it convenient for locals and tourists alike. Customers rave about the generous portions and flavorful dishes such as baby back ribs, pancit guisado, sizzling pulpog, philly cheesesteak, beef brisket, Arroz a la Cubana, and more.","https://www.google.com/maps/place/Midway+Grill+%26+Restaurant+-+La+Union's+Best+Kept+Secret/@16.6362947,120.3122288,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNPMdn2bgkNXdiC9EgrMwDWds1b0DRVTmEyhVGg!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNPMdn2bgkNXdiC9EgrMwDWds1b0DRVTmEyhVGg%3Dw152-h86-k-no!7i2048!8i1152!4m7!3m6!1s0x33918e7631676fe3:0xf46fd5fc51992e55!8m2!3d16.6362947!4d120.3122288!10e5!16s%2Fg%2F11c20d6g1s?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
26,"Amare La Cucina La Union
",La Union,San Fernando,"MacArthur Highway Brgy Carlatan Carlatan, San Fernando, 2524 La Union",11:00:00 AM,09:00:00 PM,Italian Food,Yes,Yes,No,500,4.5,9177212684.0,"16.634252646544507, 120.31373122905825","Amare La Cucina in La Union is a must-visit for Italian food lovers. The restaurant offers the unique experience of making your own pizza from scratch. Their open kitchen with a stone oven allows you to witness the pizza-making process. The Grande 13 pizza is a popular choice, known for its generous size and delicious taste. Another recommended dish is the Wood Fire Ribs, which are tender, juicy, and served with honey glaze, fresh veggies, and rice.","https://www.google.com/maps/place/Amare+La+Cucina+La+Union/@16.6339922,120.3137315,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMIdvhzPCJ1nawy_mx0YtQMCGDhnvg2l_JbdbPY!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMIdvhzPCJ1nawy_mx0YtQMCGDhnvg2l_JbdbPY%3Dw124-h86-k-no!7i1080!8i747!4m7!3m6!1s0x33918de5df8ab1e7:0x2f717d6f79f55415!8m2!3d16.6340368!4d120.3137956!10e5!16s%2Fg%2F11f65gl2b9?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
27,Makkan Ilocano Restaurant,La Union,Agoo,"89G8+WHH, Agoo, La Union",08:00:00 AM,09:00:00 PM,Filipino Food,Yes,Yes,No,400,4.2,,"16.327720751690784, 120.36634189526296","Experience the taste of Ilocano cuisine at Makkan Ilocano Restaurant in Agoo, LA UNION! This place offers a wide selection of authentic dishes from the region, perfect for families, friends, and curious travelers. Indulge in their delicious bulalo, pakbet, pork sisig and adobong pusit sa gata. Don't forget to try their crispy dinuguan - one of their specialties!","https://www.google.com/maps/place/Makkan+Ilocano+Restaurant/@16.3273226,120.3664879,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipN30jsjgp719PunwnmWpp7v5qhiBN6pyd3V_fRv!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipN30jsjgp719PunwnmWpp7v5qhiBN6pyd3V_fRv%3Dw86-h114-k-no!7i3000!8i4000!4m7!3m6!1s0x339177734c5500e9:0xbda2d904c3113be2!8m2!3d16.3273192!4d120.3664706!10e5!16s%2Fg%2F11c5syt2wl?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
28,"Kambak Restaurant
",La Union,Santo Tomas,"Namboongan Barangay Road, Santo Tomas, 2505 La Union",08:00:00 AM,08:00:00 PM,Filipino Food,Yes,Yes,No,400,4.2,9182932628.0,"16.29630601532283, 120.3817762717394","If you're in the mood for Filipino cuisine, consider visiting Kambak Resto situated in Santo Tomas. This fine dining establishment offers a cozy atmosphere and serves up delicious and authentic ilokano dishes. The restaurant features a rustic native design, with a bungalow structure that can accommodate around 70 to 80 guests. It's an ideal place to stop by during a long drive heading north.","https://www.google.com/maps/place/Kambak+Restaurant/@16.2960434,120.3818535,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipP7xR-oU92vWxS5F9QBvCgoiBxtW-8AQOUNV5SU!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipP7xR-oU92vWxS5F9QBvCgoiBxtW-8AQOUNV5SU%3Dw115-h86-k-no!7i4208!8i3120!4m7!3m6!1s0x3391772eefc32ec7:0xaec8011fed2f4e81!8m2!3d16.2960486!4d120.3818621!10e5!16s%2Fg%2F11c1vrnkcl?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
29,"Curo La Union
",La Union,San Juan,"Curbside Villa, San Juan, La Union",07:00:00 AM,09:00:00 PM,Filipino Food,Yes,Yes,Yes,500,4.7,9154789690.0,"16.65912543850688, 120.33071834687932","Curo La Union is a picturesque dining spot that offers not only aesthetic appeal but also delectable food options. The menu caters to various cravings, from hearty breakfasts to vegan meals and beautifully presented pasta dishes. While the food preparation may take some time, the delicious offerings make it worth the wait. The ambiance is perfect for a dining experience, with attentive and warm servers adding to the overall pleasant atmosphere. It's advisable to make reservations in advance due to limited seating.",https://itin-dev.wanderlogstatic.com/freeImage/2dNMx5mRmjRgPVZzLU8TqQEvChMCXwX3,Moderate,1
